"Year"	"Vessel"	"station"	"lat"	"long"	"year"	"month"	"Chrysaora melanaster (catch number)"	"date"
"29"	2012	"OD"	41	56.9975	-165.0001	2012	8	504.652149321267	2012-08-01
"30"	2012	"OD"	42	56.4788	-165.0308	2012	8	602.474022761009	2012-08-01
"31"	2012	"OD"	43	55.9763	-164.9848	2012	8	121.976344086021	2012-08-01
"32"	2012	"OD"	45	55.5448	-165.0011	2012	8	22.3957894736842	2012-08-01
"33"	2012	"OD"	47	54.9994	-165.0469	2012	8	0	2012-08-01
"34"	2012	"OD"	49	54.9895	-165.9491	2012	8	15.1276102088167	2012-08-01
"35"	2012	"OD"	50	55.4895	-166.0081	2012	8	57.6528925619835	2012-08-01
"36"	2012	"OD"	54	56.0132	-165.9967	2012	8	73.6223175965665	2012-08-01
"37"	2012	"OD"	56	56.4683	-166.0096	2012	8	306.433408577878	2012-08-01
"38"	2012	"OD"	57	56.991	-166.0505	2012	8	146.597353497164	2012-08-01
"39"	2012	"OD"	59	57.5026	-165.9901	2012	8	291.199736321688	2012-08-01
"40"	2012	"OD"	60	58.0111	-166.0258	2012	8	0	2012-08-01
"41"	2012	"OD"	61	58.521	-166.022	2012	8	1	2012-08-01
"42"	2012	"OD"	63	58.9846	-165.978	2012	8	1	2012-08-01
"43"	2012	"OD"	65	59.0042	-166.9924	2012	8	38.7625794732062	2012-08-01
"44"	2012	"OD"	66	58.4651	-166.9795	2012	8	29.6141417981372	2012-08-01
"45"	2012	"OD"	67	57.9683	-167.018	2012	9	39.1363067944977	2012-09-01
"46"	2012	"OD"	68	57.5486	-166.9996	2012	9	910.162601626016	2012-09-01
"47"	2012	"OD"	70	57.0072	-167.0051	2012	9	132.618025751073	2012-09-01
"48"	2012	"OD"	71	56.504	-166.9728	2012	9	3.33333333333333	2012-09-01
"49"	2012	"OD"	72	56.026	-167.0033	2012	9	17.7777777777778	2012-09-01
"50"	2012	"OD"	74	55.0286	-167.0188	2012	9	2	2012-09-01
"51"	2012	"OD"	75	55.4944	-166.9468	2012	9	34.4727272727273	2012-09-01
"52"	2012	"OD"	76	55.5261	-168.0051	2012	9	13.0327754532775	2012-09-01
"53"	2012	"OD"	77	56.0297	-167.9964	2012	9	33.7521288837745	2012-09-01
"54"	2012	"OD"	79	56.5279	-167.9955	2012	9	80.75	2012-09-01
"55"	2012	"OD"	81	56.9626	-168.0002	2012	9	73.8372093023256	2012-09-01
"56"	2012	"OD"	83	57.488	-168.0057	2012	9	1168.76478494624	2012-09-01
"57"	2012	"OD"	84	57.9939	-167.9549	2012	9	103.371647509579	2012-09-01
"58"	2012	"OD"	85	58.511	-168.0084	2012	9	34.0527824620573	2012-09-01
"59"	2012	"OD"	86	59.0088	-168.0589	2012	9	16.0080011430204	2012-09-01
"60"	2012	"OD"	88	59.501	-167.9921	2012	9	82.546192893401	2012-09-01
"61"	2012	"OD"	90	60.0125	-168.9237	2012	9	82.3095329005982	2012-09-01
"62"	2012	"OD"	93	59.9927	-168.0368	2012	9	167.488439306358	2012-09-01
"63"	2012	"OD"	94	59.4928	-168.987	2012	9	14.6776595744681	2012-09-01
"64"	2012	"OD"	96	58.9772	-168.9986	2012	9	10.9964412811388	2012-09-01
"65"	2012	"OD"	97	58.5262	-169.0069	2012	9	67.2863730010792	2012-09-01
"66"	2012	"OD"	99	58.0061	-168.99	2012	9	102.255294570658	2012-09-01
"67"	2012	"OD"	100	57.4893	-169.0122	2012	9	48.5807860262009	2012-09-01
"68"	2012	"OD"	102	56.9858	-169.0004	2012	9	19.9719495091164	2012-09-01
"69"	2012	"OD"	105	56.4867	-168.9852	2012	9	301.281660054928	2012-09-01
"70"	2012	"OD"	106	55.9974	-168.9602	2012	9	37.5960591133005	2012-09-01
"71"	2012	"OD"	107	55.9802	-170.0246	2012	9	83.2129348587439	2012-09-01
"72"	2012	"OD"	110	56.5121	-170.0007	2012	9	74.0169848399775	2012-09-01
"73"	2012	"OD"	112	57.001	-169.9775	2012	9	232.298033282905	2012-09-01
"74"	2012	"OD"	114	57.5261	-169.9836	2012	9	42.7165354330709	2012-09-01
"75"	2012	"OD"	115	57.9545	-170.0326	2012	9	337.998723268433	2012-09-01
"76"	2012	"OD"	157	58.5152	-170.0103	2012	9	21.640081799591	2012-09-01
"77"	2012	"OD"	158	59.0105	-170.0005	2012	9	6.49732620320856	2012-09-01
"78"	2012	"OD"	160	58.9755	-170.9988	2012	9	156.157457565908	2012-09-01
"79"	2012	"OD"	194	56.5211	-171.0126	2012	10	0	NA
"80"	2012	"OD"	195	56.4991	-172.0161	2012	10	2	NA
"81"	2012	"OD"	197	57.0068	-172.0094	2012	10	18	NA
"82"	2012	"OD"	201	57.4998	-171.001	2012	10	0	NA
"83"	2012	"OD"	202	57.5024	-172.0089	2012	10	0	NA
"84"	2012	"OD"	205	58.0163	-170.9622	2012	10	101.470085470085	NA
"85"	2012	"OD"	207	58.4973	-171.0124	2012	10	258.684009181331	NA
"86"	2012	"OD"	208	58.5027	-172.0184	2012	10	14.5142107564495	NA
"87"	2012	"OD"	210	58.9683	-171.9674	2012	10	245.915161036921	NA
"88"	2012	"OD"	213	59.5052	-171.9981	2012	10	80.2402402402402	NA
"89"	2012	"OD"	214	59.5098	-170.989	2012	10	5.75722543352601	NA
"90"	2012	"OD"	215	59.4856	-170.004	2012	10	0	NA
"91"	2012	"OD"	216	60.0264	-171.9441	2012	10	0	NA
"92"	2012	"OD"	217	59.9715	-171.0207	2012	10	0	NA
"93"	2012	"BE"	134	64.0142	-169.9854	2012	9	3	2012-09-01
"94"	2012	"BE"	136	63.9823	-169.0007	2012	9	3	2012-09-01
"95"	2012	"BE"	137	63.9816	-168.0052	2012	9	0	2012-09-01
"96"	2012	"BE"	138	63.9727	-166.9765	2012	9	0	2012-09-01
"97"	2012	"BE"	139	64.0264	-165.9853	2012	9	18	2012-09-01
"98"	2012	"BE"	140	63.4811	-168.0028	2012	9	0	2012-09-01
"99"	2012	"BE"	142	63.4781	-167.0068	2012	9	194	2012-09-01
"100"	2012	"BE"	143	63.4844	-165.9984	2012	9	54	2012-09-01
"101"	2012	"BE"	148	62.9864	-166.0296	2012	9	34	2012-09-01
"102"	2012	"BE"	149	62.9812	-167.0175	2012	9	0	2012-09-01
"103"	2012	"BE"	150	63.063	-167.7149	2012	9	0	2012-09-01
"104"	2012	"BE"	151	62.489	-169.0283	2012	9	319	2012-09-01
"105"	2012	"BE"	152	62.4847	-167.9826	2012	9	674	2012-09-01
"106"	2012	"BE"	153	62.5035	-167.0265	2012	9	32	2012-09-01
"107"	2012	"BE"	155	61.9886	-167.0052	2012	9	0	2012-09-01
"108"	2012	"BE"	156	61.984	-167.9579	2012	9	7	2012-09-01
"109"	2012	"BE"	157	61.9827	-169.0127	2012	9	98	2012-09-01
"110"	2012	"BE"	158	61.4799	-169.0151	2012	9	24	2012-09-01
"111"	2012	"BE"	159	61.485	-167.9848	2012	9	4	2012-09-01
"112"	2012	"BE"	160	61.4829	-167.0028	2012	9	2	2012-09-01
"113"	2012	"BE"	161	61.0548	-167.0173	2012	9	0	2012-09-01
"114"	2012	"BE"	162	60.9879	-168.9737	2012	9	24	2012-09-01
"115"	2012	"BE"	163	60.9876	-168.0039	2012	9	7	2012-09-01
"116"	2012	"BE"	164	60.5444	-168.0077	2012	9	24	2012-09-01
"117"	2012	"BE"	165	60.487	-168.9802	2012	9	30	2012-09-01
"118"	2012	"BE"	166	60.5202	-167.0459	2012	9	1	2012-09-01
"119"	2012	"BE"	167	60.0038	-168.0242	2012	9	222	2012-09-01
